image,race_scores,obese_scores
69.png,"[9.9522358e-01 6.5030536e-06 7.9544447e-04 8.1831859e-06 2.0635653e-05
 2.3434930e-05 3.9222543e-03]","[0.3394449055194855, 0.13541869819164276, 0.525136411190033]"
70.png,"[2.7122957e-01 4.7961503e-04 8.8065676e-03 6.4880019e-01 5.5164825e-02
 8.1036420e-04 1.4708928e-02]","[0.00022325072495732456, 0.00024111020320560783, 0.9995356798171997]"
71.png,"[9.8790209e-05 9.8439729e-01 4.5514284e-03 2.1015378e-03 3.5730843e-03
 5.1653753e-03 1.1245425e-04]","[2.162220516765956e-05, 0.01583489403128624, 0.9841434955596924]"
72.png,"[6.8704146e-01 6.4723514e-05 4.8852779e-02 2.8748452e-04 7.1239599e-04
 3.6110641e-03 2.5943005e-01]","[0.869027316570282, 0.0019068269757553935, 0.1290658712387085]"
73.png,"[1.8669562e-04 2.0042604e-05 2.5592998e-03 4.7119001e-01 5.2559876e-01
 4.3438195e-04 1.0869346e-05]","[0.0009659274946898222, 0.0023129337932914495, 0.996721088886261]"
74.png,"[1.7266760e-03 8.1706849e-06 3.5119303e-02 7.0265442e-01 2.5492474e-01
 4.7171409e-03 8.4952341e-04]","[0.21019862592220306, 0.7889994382858276, 0.0008019285160116851]"
75.png,"[9.6444058e-01 1.5397296e-05 1.0692857e-02 4.8026239e-05 3.2734559e-05
 1.9877145e-04 2.4571542e-02]","[2.8568170819198713e-05, 0.02121889591217041, 0.9787525534629822]"
76.png,"[9.3913126e-01 3.2935699e-05 6.6038719e-03 3.4618389e-03 2.0823034e-03
 8.3126174e-04 4.7856510e-02]","[0.03621235117316246, 0.9550001621246338, 0.008787416853010654]"
77.png,"[4.1385866e-03 9.4447917e-01 4.0110715e-02 6.3227041e-04 2.6470337e-03
 7.5413552e-03 4.5083425e-04]","[0.056949030607938766, 0.8364246487617493, 0.10662639141082764]"
78.png,"[6.2126446e-01 1.3072453e-02 2.8976724e-01 3.4585348e-04 1.0002822e-03
 1.7711938e-03 7.2778493e-02]","[0.9998388290405273, 0.00015760527458041906, 3.5171606214134954e-06]"
